name,number,old_price,sale_price,url
Lace Top,66738,$17.99,$9.99,http://www.hm.com/us/product/66738?article=66738-A
Silk-blend Top,39356,$24.99,$12.99,http://www.hm.com/us/product/39356?article=39356-A
Jersey Top,49630,$14.99,$9.99,http://www.hm.com/us/product/49630?article=49630-E
Sleeveless Top with Lace,60829,$24.99,$14.99,http://www.hm.com/us/product/60829?article=60829-A
Tank Top with Lacing,71478,$12.99,$7.99,http://www.hm.com/us/product/71478?article=71478-A
Sleeveless Top with Lace,60829,$24.99,$14.99,http://www.hm.com/us/product/60829?article=60829-B
Tube Top,26972,$9.95,$4,http://www.hm.com/us/product/26972?article=26972-M
Short-sleeved Top,62216,$12.99,$5.99,http://www.hm.com/us/product/62216?article=62216-D
Off-the-shoulder Top,68555,$49.99,$29.99,http://www.hm.com/us/product/68555?article=68555-A
Ribbed Polo Shirt,59740,$17.99,$7.99,http://www.hm.com/us/product/59740?article=59740-C
Short Mesh Top,69669,$14.99,$9.99,http://www.hm.com/us/product/69669?article=69669-A
Bustier,60791,$29.99,$14.99,http://www.hm.com/us/product/60791?article=60791-B
Jersey Top with Ruffles,69264,$24.99,$12.99,http://www.hm.com/us/product/69264?article=69264-B
Jersey Top,58380,$14.99,$9.99,http://www.hm.com/us/product/58380?article=58380-C
Wide-cut Camisole Top,68459,$14.99,$9.99,http://www.hm.com/us/product/68459?article=68459-F
Short Jersey Top,69128,$12.99,$7.99,http://www.hm.com/us/product/69128?article=69128-A
Draped Top,67801,$17.99,$9.99,http://www.hm.com/us/product/67801?article=67801-A
Fitted Sweater,63533,$29.99,$9.99,http://www.hm.com/us/product/63533?article=63533-D
Mock-turtleneck Top,55410,$17.99,$12.99,http://www.hm.com/us/product/55410?article=55410-E
Ruffled Top,67573,$17.99,$9.99,http://www.hm.com/us/product/67573?article=67573-G
Jersey Top,39799,$14.99,$7.99,http://www.hm.com/us/product/39799?article=39799-E
Jersey Top,94115,$12.99,$6.99,http://www.hm.com/us/product/94115?article=94115-K
Sleeveless Top,60245,$17.99,$9.99,http://www.hm.com/us/product/60245?article=60245-A
Long-sleeved Linen Top,64869,$24.99,$12.99,http://www.hm.com/us/product/64869?article=64869-E
Wrap-front Sweater,62525,$12.99,$9.99,http://www.hm.com/us/product/62525?article=62525-A
Lace Top,67945,$34.99,$19.99,http://www.hm.com/us/product/67945?article=67945-C
Wide-cut T-shirt,66154,$12.99,$7.99,http://www.hm.com/us/product/66154?article=66154-B
Mesh Ruffled Top,65298,$19.99,$14.99,http://www.hm.com/us/product/65298?article=65298-B
Cotton Jersey T-shirt,63610,$12.99,$7.99,http://www.hm.com/us/product/63610?article=63610-J
Glittery Bustier,59539,$24.99,$12.99,http://www.hm.com/us/product/59539?article=59539-C
Linen Jersey Top,43241,$17.99,$9.99,http://www.hm.com/us/product/43241?article=43241-I
V-neck Jersey Top,55540,$9.99,$5.99,http://www.hm.com/us/product/55540?article=55540-H
Glittery Top,61034,$39.99,$19.99,http://www.hm.com/us/product/61034?article=61034-C
Ribbed Top,65943,$17.99,$9.99,http://www.hm.com/us/product/65943?article=65943-A
Ribbed Top,58201,$34.99,$12.99,http://www.hm.com/us/product/58201?article=58201-A
Silk-blend Top,63643,$24.99,$12.99,http://www.hm.com/us/product/63643?article=63643-E
Draped Top,67801,$17.99,$9.99,http://www.hm.com/us/product/67801?article=67801-C
Velour T-shirt,69500,$17.99,$9.99,http://www.hm.com/us/product/69500?article=69500-A
T-shirt with Printed Design,64990,$14.99,$9.99,http://www.hm.com/us/product/64990?article=64990-B
Ribbed Top,67941,$29.99,$14.99,http://www.hm.com/us/product/67941?article=67941-C
Short Top,68304,$14.99,$9.99,http://www.hm.com/us/product/68304?article=68304-B
T-shirt with Printed Design,69220,$12.99,$9.99,http://www.hm.com/us/product/69220?article=69220-B
Short Ruffled Top,71504,$24.99,$19.99,http://www.hm.com/us/product/71504?article=71504-B
Ribbed Sweater,59865,$12.99,$9.99,http://www.hm.com/us/product/59865?article=59865-C
Embellished Chiffon Top,84923,$39.99,$20,http://www.hm.com/us/product/84923?article=84923-A
Jersey Camisole Top,69011,$6.99,$4.99,http://www.hm.com/us/product/69011?article=69011-C
Ribbed Top,56148,$19.99,$9.99,http://www.hm.com/us/product/56148?article=56148-B
V-neck Camisole Top,59964,$17.99,$12.99,http://www.hm.com/us/product/59964?article=59964-A
Velvet Camisole Top,66158,$24.99,$14.99,http://www.hm.com/us/product/66158?article=66158-C
Off-the-shoulder Top,53939,$24.99,$14.99,http://www.hm.com/us/product/53939?article=53939-A
Long-sleeved Jersey Top,30028,$12.99,$9.99,http://www.hm.com/us/product/30028?article=30028-S
Velour Camisole Top,68051,$14.99,$9.99,http://www.hm.com/us/product/68051?article=68051-B
Jersey Top,64828,$14.99,$9.99,http://www.hm.com/us/product/64828?article=64828-C
Ribbed Top,57315,$17.99,$9.99,http://www.hm.com/us/product/57315?article=57315-C
V-neck Jersey Top,65256,$14.99,$9.99,http://www.hm.com/us/product/65256?article=65256-A
Short Top,66133,$9.99,$5.99,http://www.hm.com/us/product/66133?article=66133-B
Loose-knit Top,65855,$24.99,$14.99,http://www.hm.com/us/product/65855?article=65855-A
Ribbed Top,56148,$19.99,$9.99,http://www.hm.com/us/product/56148?article=56148-A
Short Top,63209,$29.99,$17.99,http://www.hm.com/us/product/63209?article=63209-A
Long-sleeved Lace Top,66546,$34.99,$19.99,http://www.hm.com/us/product/66546?article=66546-C
V-neck Camisole Top,63080,$17.99,$9.99,http://www.hm.com/us/product/63080?article=63080-B
Fine-knit Camisole Top,67259,$29.99,$12.99,http://www.hm.com/us/product/67259?article=67259-D
Sleeveless Jersey Top,42288,$24.99,$12.99,http://www.hm.com/us/product/42288?article=42288-E
Rib-knit Sweater,61286,$24.99,$14.99,http://www.hm.com/us/product/61286?article=61286-A
V-neck Short-sleeved Sweater,64045,$17.99,$7.99,http://www.hm.com/us/product/64045?article=64045-A
Long-sleeved Jersey Top,54285,$17.99,$9.99,http://www.hm.com/us/product/54285?article=54285-I
Short Top with Lacing,62105,$29.99,$17.99,http://www.hm.com/us/product/62105?article=62105-B
Jersey Crêpe Top,44914,$17.99,$9.99,http://www.hm.com/us/product/44914?article=44914-L
Hemstitch-embroidered Top,67949,$24.99,$14.99,http://www.hm.com/us/product/67949?article=67949-B
Pointelle Top,63835,$24.99,$14.99,http://www.hm.com/us/product/63835?article=63835-A
